DEPTH,DEPT,CALI,COND,DENS,GR,NPHI,RES,SONIC,One-way time,Input interval velocity,Output interval velocity,Drift,RC,AI,Resampled AI,Input interval velocity,Output interval velocity,Calibrated sonic log,Residual drift log
967,967,-999.25,-999.25,1.89989996,-999.25,0.549000025,-999.25,63.79999924,-33.48599243,2379556.75,2291421.5,0,-999.25,9.13525486,-999.25,2291421.5,100000,3.047999859,-17.57637596
967.5,967.5,-999.25,-999.25,1.904800057,-999.25,0.533800006,-999.25,69.69999695,-33.48099518,2379787.75,2291421.5,0,-999.25,8.179101944,-999.25,2291421.5,100000,3.047999859,-17.58594131
968,968,-999.25,-999.25,1.887899995,-999.25,0.520799995,-999.25,76.69999695,-33.47599411,2380019,2291421.5,0,-999.25,7.256920338,-999.25,2291421.5,100000,3.047999859,-17.59550285
968.5,968.5,-999.25,-999.25,1.872599959,-999.25,0.525600016,-999.25,77.19999695,-33.47099304,2380250,2291421.5,0,-999.25,7.198217392,-999.25,2291421.5,100000,3.047999859,-17.60506821
969,969,-999.25,-999.25,1.878900051,-999.25,0.558099985,-999.25,76.80000305,-33.46599197,2380481.25,2291421.5,0,-999.25,7.245110989,-999.25,2291421.5,100000,3.047999859,-17.61463165
969.5,969.5,-999.25,-999.25,1.904600024,-999.25,0.617999971,-999.25,71.09999847,-33.46099472,2380712.25,2291421.5,0,-999.25,7.978285313,-999.25,2291421.5,100000,3.047999859,-17.6241951
970,970,-999.25,-999.25,1.937299967,17.15629959,0.615199983,-999.25,67.90000153,-33.45599365,2380943.5,2291421.5,0,-999.25,8.451023102,-999.25,2291421.5,100000,3.047999859,-17.63375854
970.5,970.5,-999.25,-999.25,1.985100031,16.7343998,0.622799993,-999.25,76.5,-33.45099258,2381174.5,2291421.5,0,-999.25,7.280643463,-999.25,2291421.5,100000,3.047999859,-17.64332199
971,971,-999.25,-999.25,2.03550005,18.3281002,0.575399995,-999.25,76,-33.44599533,2381405.75,2291421.5,0,-999.25,7.340565682,-999.25,2291421.5,100000,3.047999859,-17.65288544
971.5,971.5,-999.25,-999.25,2.062299967,19.21879959,0.53670001,-999.25,74.19999695,-33.44099426,2381636.75,2291421.5,0,-999.25,7.563828468,-999.25,2291421.5,100000,3.047999859,-17.66244888
972,972,-999.25,-999.25,2.070499897,20.9375,0.536300004,-999.25,74.59999847,-33.43599319,2381867.75,2291421.5,0,-999.25,7.513166904,-999.25,2291421.5,100000,3.047999859,-17.67201424
972.5,972.5,-999.25,-999.25,2.064599991,18.34379959,0.566999972,-999.25,65.30000305,-33.43099213,2382099,2291421.5,0,-999.25,8.873705864,-999.25,2291421.5,100000,3.047999859,-17.68157578
973,973,-999.25,-999.25,2.063499928,16.75,0.581499994,-999.25,64.69999695,-33.42599487,2382330,2291421.5,0,-999.25,8.976689339,-999.25,2291421.5,100000,3.047999859,-17.69113922
973.5,973.5,-999.25,-999.25,2.066800118,16,0.532800019,-999.25,65.69999695,-33.4209938,2382561.25,2291421.5,0,-999.25,8.80622673,-999.25,2291421.5,100000,3.047999859,-17.70070457
974,974,-999.25,-999.25,2.091300011,19.28129959,0.549499989,-999.25,66.19999695,-33.41599274,2382792.25,2291421.5,0,-999.25,8.723165512,-999.25,2291421.5,100000,3.047999859,-17.71026611
974.5,974.5,-999.25,-999.25,2.095499992,22.1406002,0.519400001,-999.25,88.19999695,-33.41099548,2383023.5,2291421.5,0,-999.25,6.094117165,-999.25,2291421.5,100000,3.047999859,-17.71983147
975,975,-999.25,-999.25,2.090399981,25.1875,0.563399971,-999.25,86.90000153,-33.40599442,2383254.5,2291421.5,0,-999.25,6.208287239,-999.25,2291421.5,100000,3.047999859,-17.72939491
975.5,975.5,-999.25,-999.25,2.082299948,23.9375,0.541800022,-999.25,87.30000305,-33.40099335,2383485.75,2291421.5,0,-999.25,6.172749996,-999.25,2291421.5,100000,3.047999859,-17.73895836
976,976,-999.25,-999.25,2.076499939,23.78129959,0.567600012,-999.25,85.90000153,-33.39599228,2383716.75,2291421.5,0,-999.25,6.298760414,-999.25,2291421.5,100000,3.047999859,-17.7485218
976.5,976.5,-999.25,-999.25,2.074899912,22.46870041,0.575999975,-999.25,72.30000305,-33.39099503,2383948,2291421.5,0,-999.25,7.813105106,-999.25,2291421.5,100000,3.047999859,-17.75808525
977,977,-999.25,-999.25,2.075500011,24.1718998,0.546299994,-999.25,66.5,-33.38599396,2384179,2291421.5,0,-999.25,8.67400074,-999.25,2291421.5,100000,3.047999859,-17.7676487
977.5,977.5,-999.25,-999.25,2.07159996,21.8906002,0.58130002,-999.25,77.69999695,-33.38099289,2384410,2291421.5,0,-999.25,7.140363216,-999.25,2291421.5,100000,3.047999859,-17.77721214
978,978,-999.25,-999.25,2.073899984,23.2031002,0.528699994,-999.25,70.69999695,-33.37599182,2384641.25,2291421.5,0,-999.25,8.034748077,-999.25,2291421.5,100000,3.047999859,-17.7867775
978.5,978.5,-999.25,-999.25,2.072700024,23.1406002,0.544499993,-999.25,68,-33.37099457,2384872.25,2291421.5,0,-999.25,8.435491562,-999.25,2291421.5,100000,3.047999859,-17.79633904
979,979,-999.25,-999.25,2.072599888,23.71870041,0.492900014,-999.25,61.29999924,-33.3659935,2385103.5,2291421.5,0,-999.25,9.603309631,-999.25,2291421.5,100000,3.047999859,-17.80590248
979.5,979.5,-999.25,-999.25,2.06069994,20.2656002,0.519900024,-999.25,62.79999924,-33.36099243,2385334.5,2291421.5,0,-999.25,9.317448616,-999.25,2291421.5,100000,3.047999859,-17.81546783
980,980,-999.25,-999.25,2.053100109,21.2656002,0.51880002,-999.25,63.20000076,-33.35599518,2385565.75,2291421.5,0,-999.25,9.24379158,-999.25,2291421.5,100000,3.047999859,-17.82502937
980.5,980.5,-999.25,-999.25,2.035700083,21.46879959,0.516099989,-999.25,63,-33.35099411,2385796.75,2291421.5,0,-999.25,9.280488014,-999.25,2291421.5,100000,3.047999859,-17.83459473
981,981,-999.25,-999.25,2.023900032,26.46879959,0.53640002,-999.25,72.40000153,-33.34599304,2386028,2291421.5,0,-999.25,7.799617767,-999.25,2291421.5,100000,3.047999859,-17.84415817
981.5,981.5,-999.25,-999.25,2.016200066,26.9843998,0.596599996,-999.25,62.90000153,-33.34099197,2386259,2291421.5,0,-999.25,9.29893589,-999.25,2291421.5,100000,3.047999859,-17.85371971
982,982,-999.25,-999.25,2.02609992,29.0468998,0.620100021,-999.25,65.40000153,-33.33599472,2386490.25,2291421.5,0,-999.25,8.856748581,-999.25,2291421.5,100000,3.047999859,-17.86328506
982.5,982.5,-999.25,-999.25,2.032299995,25.90620041,0.601899982,-999.25,57,-33.33099365,2386721.25,2291421.5,0,-999.25,10.51726818,-999.25,2291421.5,100000,3.047999859,-17.87284851
983,983,-999.25,-999.25,2.027899981,24.4531002,0.576099992,-999.25,62.40000153,-33.32599258,2386952.25,2291421.5,0,-999.25,9.392166138,-999.25,2291421.5,100000,3.047999859,-17.88241196
